variable,mean,std,min,max,median
q1_true_goal_prob,0.3634829862901858,0.1813476534061326,0.008001637950385948,0.8631043734415665,0.32931229000970674
mid_true_goal_prob,0.7745463249985992,0.2397615486835523,0.3186932012904617,0.9992388546681857,0.8588632358681545
q3_true_goal_prob,0.9077676609692098,0.17322558034803612,0.3330531077654937,0.9999814551716822,0.9784176667166573
end_true_goal_prob,0.9958957852428266,0.01046025807196131,0.9623563032325384,0.9999999522489095,0.9999694863557851
q1_is_top_ranked,0.9333333333333333,0.2537081317024625,false,true,1.0
mid_is_top_ranked,1.0,0.0,true,true,1.0
q3_is_top_ranked,1.0,0.0,true,true,1.0
end_is_top_ranked,1.0,0.0,true,true,1.0
total_states_visited,5657.3,4864.481849644138,2306,24777,3920.5
initial_states_visited,363.6666666666667,141.3099633682156,168,477,446.0
marginal_states_visited,392.5076415979563,132.88851899318624,192.75,632.875,356.3333333333333
average_states_visited,388.8054653192142,126.81259909397463,209.47058823529412,621.8823529411765,347.482905982906
total_dur,145.11121903260548,116.69822124213003,57.36624598503113,609.3339669704437,112.32688748836517
initial_dur,10.130461064974467,4.487711326965529,4.014700174331665,15.387413024902344,11.226045489311218
marginal_dur,10.158127123494532,3.268131139580826,5.302294000983238,17.218493183453877,9.32541538278262
average_dur,10.124155568068584,3.1434862263217593,5.846497283262365,16.938624007361277,9.554716039926578
